,date,county,cases,deaths,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
120,2020-03-18,2020-03-18,2,0,2.0,2.0,2.0,2.0,2.0,2.0
121,2020-03-18,2020-03-18,17,0,17.0,17.0,17.0,17.0,17.0,17.0
122,2020-03-18,2020-03-18,5,0,5.0,5.0,5.0,5.0,5.0,5.0
123,2020-03-18,2020-03-18,14,0,14.0,14.0,14.0,14.0,14.0,14.0
124,2020-03-18,2020-03-18,1,0,1.0,1.0,1.0,1.0,1.0,1.0
125,2020-03-18,2020-03-18,2,0,2.0,2.0,2.0,2.0,2.0,2.0
126,2020-03-18,2020-03-18,100,0,100.0,100.0,100.0,100.0,100.0,100.0
127,2020-03-18,2020-03-18,45,0,45.0,45.0,45.0,45.0,45.0,45.0
128,2020-03-18,2020-03-18,5,0,5.0,5.0,5.0,5.0,5.0,5.0
129,2020-03-18,2020-03-18,51,0,51.0,51.0,51.0,51.0,51.0,51.0
131,2020-03-18,2020-03-18,10,0,10.0,10.0,10.0,10.0,10.0,10.0
132,2020-03-19,2020-03-19,5,0,5.0,5.0,5.0,5.0,5.0,5.0
133,2020-03-19,2020-03-19,18,0,18.0,18.0,18.0,18.0,18.0,18.0
134,2020-03-19,2020-03-19,6,0,6.0,6.0,6.0,6.0,6.0,6.0
135,2020-03-19,2020-03-19,19,0,19.0,19.0,19.0,19.0,19.0,19.0
136,2020-03-19,2020-03-19,1,0,1.0,1.0,1.0,1.0,1.0,1.0
137,2020-03-19,2020-03-19,3,0,3.0,3.0,3.0,3.0,3.0,3.0
138,2020-03-19,2020-03-19,1,0,1.0,1.0,1.0,1.0,1.0,1.0
139,2020-03-19,2020-03-19,119,0,119.0,119.0,119.0,119.0,119.0,119.0
140,2020-03-19,2020-03-19,52,0,52.0,52.0,52.0,52.0,52.0,52.0
141,2020-03-19,2020-03-19,5,0,5.0,5.0,5.0,5.0,5.0,5.0
142,2020-03-19,2020-03-19,72,0,72.0,72.0,72.0,72.0,72.0,72.0
144,2020-03-19,2020-03-19,14,0,14.0,14.0,14.0,14.0,14.0,14.0
145,2020-03-20,2020-03-20,9,0,9.0,9.0,9.0,9.0,9.0,9.0
146,2020-03-20,2020-03-20,20,0,20.0,20.0,20.0,20.0,20.0,20.0
147,2020-03-20,2020-03-20,6,0,6.0,6.0,6.0,6.0,6.0,6.0
148,2020-03-20,2020-03-20,29,0,29.0,29.0,29.0,29.0,29.0,29.0
149,2020-03-20,2020-03-20,1,0,1.0,1.0,1.0,1.0,1.0,1.0
150,2020-03-20,2020-03-20,3,0,3.0,3.0,3.0,3.0,3.0,3.0
151,2020-03-20,2020-03-20,2,0,2.0,2.0,2.0,2.0,2.0,2.0
152,2020-03-20,2020-03-20,144,0,144.0,144.0,144.0,144.0,144.0,144.0
153,2020-03-20,2020-03-20,64,0,64.0,64.0,64.0,64.0,64.0,64.0
154,2020-03-20,2020-03-20,11,0,11.0,11.0,11.0,11.0,11.0,11.0
155,2020-03-20,2020-03-20,87,1,87.0,87.0,87.0,87.0,87.0,87.0
157,2020-03-20,2020-03-20,19,0,19.0,19.0,19.0,19.0,19.0,19.0
158,2020-03-21,2020-03-21,11,0,11.0,11.0,11.0,11.0,11.0,11.0
159,2020-03-21,2020-03-21,21,0,21.0,21.0,21.0,21.0,21.0,21.0
160,2020-03-21,2020-03-21,14,0,14.0,14.0,14.0,14.0,14.0,14.0
161,2020-03-21,2020-03-21,41,0,41.0,41.0,41.0,41.0,41.0,41.0
162,2020-03-21,2020-03-21,2,0,2.0,2.0,2.0,2.0,2.0,2.0
163,2020-03-21,2020-03-21,9,0,9.0,9.0,9.0,9.0,9.0,9.0
164,2020-03-21,2020-03-21,2,0,2.0,2.0,2.0,2.0,2.0,2.0
165,2020-03-21,2020-03-21,177,1,177.0,177.0,177.0,177.0,177.0,177.0
166,2020-03-21,2020-03-21,1,0,1.0,1.0,1.0,1.0,1.0,1.0
167,2020-03-21,2020-03-21,69,0,69.0,69.0,69.0,69.0,69.0,69.0
168,2020-03-21,2020-03-21,20,0,20.0,20.0,20.0,20.0,20.0,20.0
169,2020-03-21,2020-03-21,108,1,108.0,108.0,108.0,108.0,108.0,108.0
171,2020-03-21,2020-03-21,24,0,24.0,24.0,24.0,24.0,24.0,24.0
172,2020-03-22,2020-03-22,24,0,24.0,24.0,24.0,24.0,24.0,24.0
173,2020-03-22,2020-03-22,23,1,23.0,23.0,23.0,23.0,23.0,23.0
174,2020-03-22,2020-03-22,24,0,24.0,24.0,24.0,24.0,24.0,24.0
175,2020-03-22,2020-03-22,60,0,60.0,60.0,60.0,60.0,60.0,60.0
176,2020-03-22,2020-03-22,2,0,2.0,2.0,2.0,2.0,2.0,2.0
177,2020-03-22,2020-03-22,12,1,12.0,12.0,12.0,12.0,12.0,12.0
178,2020-03-22,2020-03-22,4,0,4.0,4.0,4.0,4.0,4.0,4.0
179,2020-03-22,2020-03-22,199,1,199.0,199.0,199.0,199.0,199.0,199.0
180,2020-03-22,2020-03-22,1,0,1.0,1.0,1.0,1.0,1.0,1.0
181,2020-03-22,2020-03-22,75,0,75.0,75.0,75.0,75.0,75.0,75.0
182,2020-03-22,2020-03-22,25,0,25.0,25.0,25.0,25.0,25.0,25.0
183,2020-03-22,2020-03-22,126,2,126.0,126.0,126.0,126.0,126.0,126.0
185,2020-03-22,2020-03-22,37,0,37.0,37.0,37.0,37.0,37.0,37.0
186,2020-03-23,2020-03-23,30,0,30.0,30.0,30.0,30.0,30.0,30.0
187,2020-03-23,2020-03-23,26,1,26.0,26.0,26.0,26.0,26.0,26.0
188,2020-03-23,2020-03-23,25,0,25.0,25.0,25.0,25.0,25.0,25.0
189,2020-03-23,2020-03-23,73,1,73.0,73.0,73.0,73.0,73.0,73.0
190,2020-03-23,2020-03-23,2,0,2.0,2.0,2.0,2.0,2.0,2.0
191,2020-03-23,2020-03-23,15,1,15.0,15.0,15.0,15.0,15.0,15.0
192,2020-03-23,2020-03-23,6,0,6.0,6.0,6.0,6.0,6.0,6.0
193,2020-03-23,2020-03-23,232,1,232.0,232.0,232.0,232.0,232.0,232.0
194,2020-03-23,2020-03-23,1,0,1.0,1.0,1.0,1.0,1.0,1.0
195,2020-03-23,2020-03-23,82,1,82.0,82.0,82.0,82.0,82.0,82.0
196,2020-03-23,2020-03-23,32,0,32.0,32.0,32.0,32.0,32.0,32.0
197,2020-03-23,2020-03-23,154,3,154.0,154.0,154.0,154.0,154.0,154.0
199,2020-03-23,2020-03-23,42,1,42.0,42.0,42.0,42.0,42.0,42.0
200,2020-03-24,2020-03-24,40,0,40.0,40.0,40.0,40.0,40.0,40.0
201,2020-03-24,2020-03-24,37,2,37.0,37.0,37.0,37.0,37.0,37.0
202,2020-03-24,2020-03-24,31,0,31.0,31.0,31.0,31.0,31.0,31.0
203,2020-03-24,2020-03-24,118,1,118.0,118.0,118.0,118.0,118.0,118.0
204,2020-03-24,2020-03-24,5,0,5.0,5.0,5.0,5.0,5.0,5.0
205,2020-03-24,2020-03-24,24,1,24.0,24.0,24.0,24.0,24.0,24.0
206,2020-03-24,2020-03-24,8,0,8.0,8.0,8.0,8.0,8.0,8.0
207,2020-03-24,2020-03-24,304,2,304.0,304.0,304.0,304.0,304.0,304.0
208,2020-03-24,2020-03-24,2,0,2.0,2.0,2.0,2.0,2.0,2.0
209,2020-03-24,2020-03-24,129,1,129.0,129.0,129.0,129.0,129.0,129.0
210,2020-03-24,2020-03-24,64,0,64.0,64.0,64.0,64.0,64.0,64.0
211,2020-03-24,2020-03-24,234,3,234.0,234.0,234.0,234.0,234.0,234.0
213,2020-03-24,2020-03-24,73,1,73.0,73.0,73.0,73.0,73.0,73.0
214,2020-03-25,2020-03-25,51,1,51.0,51.0,51.0,51.0,51.0,51.0
215,2020-03-25,2020-03-25,71,2,71.0,71.0,71.0,71.0,71.0,71.0
216,2020-03-25,2020-03-25,67,0,67.0,67.0,67.0,67.0,67.0,67.0
217,2020-03-25,2020-03-25,1,0,1.0,1.0,1.0,1.0,1.0,1.0
218,2020-03-25,2020-03-25,177,1,177.0,177.0,177.0,177.0,177.0,177.0
219,2020-03-25,2020-03-25,14,0,14.0,14.0,14.0,14.0,14.0,14.0
220,2020-03-25,2020-03-25,45,1,45.0,45.0,45.0,45.0,45.0,45.0
221,2020-03-25,2020-03-25,11,0,11.0,11.0,11.0,11.0,11.0,11.0
222,2020-03-25,2020-03-25,446,2,446.0,446.0,446.0,446.0,446.0,446.0
223,2020-03-25,2020-03-25,2,0,2.0,2.0,2.0,2.0,2.0,2.0
224,2020-03-25,2020-03-25,222,2,222.0,222.0,222.0,222.0,222.0,222.0
225,2020-03-25,2020-03-25,101,0,101.0,101.0,101.0,101.0,101.0,101.0
226,2020-03-25,2020-03-25,342,3,342.0,342.0,342.0,342.0,342.0,342.0
228,2020-03-25,2020-03-25,129,3,129.0,129.0,129.0,129.0,129.0,129.0
229,2020-03-26,2020-03-26,67,1,67.0,67.0,67.0,67.0,67.0,67.0
230,2020-03-26,2020-03-26,73,2,73.0,73.0,73.0,73.0,73.0,73.0
231,2020-03-26,2020-03-26,90,0,90.0,90.0,90.0,90.0,90.0,90.0
232,2020-03-26,2020-03-26,1,0,1.0,1.0,1.0,1.0,1.0,1.0
233,2020-03-26,2020-03-26,247,3,247.0,247.0,247.0,247.0,247.0,247.0
234,2020-03-26,2020-03-26,16,1,16.0,16.0,16.0,16.0,16.0,16.0
235,2020-03-26,2020-03-26,55,2,55.0,55.0,55.0,55.0,55.0,55.0
236,2020-03-26,2020-03-26,17,0,17.0,17.0,17.0,17.0,17.0,17.0
237,2020-03-26,2020-03-26,538,5,538.0,538.0,538.0,538.0,538.0,538.0
238,2020-03-26,2020-03-26,2,0,2.0,2.0,2.0,2.0,2.0,2.0
239,2020-03-26,2020-03-26,292,3,292.0,292.0,292.0,292.0,292.0,292.0
240,2020-03-26,2020-03-26,138,0,138.0,138.0,138.0,138.0,138.0,138.0
241,2020-03-26,2020-03-26,448,4,448.0,448.0,448.0,448.0,448.0,448.0
243,2020-03-26,2020-03-26,166,4,166.0,166.0,166.0,166.0,166.0,166.0
244,2020-03-27,2020-03-27,100,2,100.0,100.0,100.0,100.0,100.0,100.0
245,2020-03-27,2020-03-27,105,4,105.0,105.0,105.0,105.0,105.0,105.0
246,2020-03-27,2020-03-27,129,1,129.0,129.0,129.0,129.0,129.0,129.0
247,2020-03-27,2020-03-27,1,0,1.0,1.0,1.0,1.0,1.0,1.0
248,2020-03-27,2020-03-27,350,3,350.0,350.0,350.0,350.0,350.0,350.0
249,2020-03-27,2020-03-27,24,2,24.0,24.0,24.0,24.0,24.0,24.0
250,2020-03-27,2020-03-27,90,2,90.0,90.0,90.0,90.0,90.0,90.0
251,2020-03-27,2020-03-27,20,0,20.0,20.0,20.0,20.0,20.0,20.0
252,2020-03-27,2020-03-27,685,6,685.0,685.0,685.0,685.0,685.0,685.0
253,2020-03-27,2020-03-27,2,0,2.0,2.0,2.0,2.0,2.0,2.0
254,2020-03-27,2020-03-27,393,7,393.0,393.0,393.0,393.0,393.0,393.0
255,2020-03-27,2020-03-27,187,0,187.0,187.0,187.0,187.0,187.0,187.0
256,2020-03-27,2020-03-27,631,4,631.0,631.0,631.0,631.0,631.0,631.0
258,2020-03-27,2020-03-27,219,4,219.0,219.0,219.0,219.0,219.0,219.0
259,2020-03-28,2020-03-28,133,2,133.0,133.0,133.0,133.0,133.0,133.0
260,2020-03-28,2020-03-28,119,4,119.0,119.0,119.0,119.0,119.0,119.0
261,2020-03-28,2020-03-28,179,1,179.0,179.0,179.0,179.0,179.0,179.0
262,2020-03-28,2020-03-28,1,0,1.0,1.0,1.0,1.0,1.0,1.0
263,2020-03-28,2020-03-28,472,4,472.0,472.0,472.0,472.0,472.0,472.0
264,2020-03-28,2020-03-28,39,2,39.0,39.0,39.0,39.0,39.0,39.0
265,2020-03-28,2020-03-28,183,5,183.0,183.0,183.0,183.0,183.0,183.0
266,2020-03-28,2020-03-28,30,0,30.0,30.0,30.0,30.0,30.0,30.0
267,2020-03-28,2020-03-28,842,6,842.0,842.0,842.0,842.0,842.0,842.0
268,2020-03-28,2020-03-28,5,0,5.0,5.0,5.0,5.0,5.0,5.0
269,2020-03-28,2020-03-28,490,9,490.0,490.0,490.0,490.0,490.0,490.0
270,2020-03-28,2020-03-28,272,0,272.0,272.0,272.0,272.0,272.0,272.0
271,2020-03-28,2020-03-28,843,5,843.0,843.0,843.0,843.0,843.0,843.0
273,2020-03-28,2020-03-28,291,6,291.0,291.0,291.0,291.0,291.0,291.0
274,2020-03-29,2020-03-29,148,2,148.0,148.0,148.0,148.0,148.0,148.0
275,2020-03-29,2020-03-29,151,5,151.0,151.0,151.0,151.0,151.0,151.0
276,2020-03-29,2020-03-29,208,1,208.0,208.0,208.0,208.0,208.0,208.0
277,2020-03-29,2020-03-29,1,0,1.0,1.0,1.0,1.0,1.0,1.0
278,2020-03-29,2020-03-29,570,5,570.0,570.0,570.0,570.0,570.0,570.0
279,2020-03-29,2020-03-29,41,2,41.0,41.0,41.0,41.0,41.0,41.0
280,2020-03-29,2020-03-29,201,5,201.0,201.0,201.0,201.0,201.0,201.0
281,2020-03-29,2020-03-29,37,0,37.0,37.0,37.0,37.0,37.0,37.0
282,2020-03-29,2020-03-29,981,7,981.0,981.0,981.0,981.0,981.0,981.0
283,2020-03-29,2020-03-29,5,0,5.0,5.0,5.0,5.0,5.0,5.0
284,2020-03-29,2020-03-29,548,10,548.0,548.0,548.0,548.0,548.0,548.0
285,2020-03-29,2020-03-29,325,0,325.0,325.0,325.0,325.0,325.0,325.0
286,2020-03-29,2020-03-29,940,5,940.0,940.0,940.0,940.0,940.0,940.0
288,2020-03-29,2020-03-29,337,6,337.0,337.0,337.0,337.0,337.0,337.0
289,2020-03-30,2020-03-30,173,2,173.0,173.0,173.0,173.0,173.0,173.0
290,2020-03-30,2020-03-30,162,5,162.0,162.0,162.0,162.0,162.0,162.0
291,2020-03-30,2020-03-30,263,2,263.0,263.0,263.0,263.0,263.0,263.0
292,2020-03-30,2020-03-30,1,0,1.0,1.0,1.0,1.0,1.0,1.0
293,2020-03-30,2020-03-30,653,7,653.0,653.0,653.0,653.0,653.0,653.0
294,2020-03-30,2020-03-30,49,2,49.0,49.0,49.0,49.0,49.0,49.0
295,2020-03-30,2020-03-30,255,5,255.0,255.0,255.0,255.0,255.0,255.0
296,2020-03-30,2020-03-30,46,0,46.0,46.0,46.0,46.0,46.0,46.0
297,2020-03-30,2020-03-30,1141,9,1141.0,1141.0,1141.0,1141.0,1141.0,1141.0
298,2020-03-30,2020-03-30,5,0,5.0,5.0,5.0,5.0,5.0,5.0
299,2020-03-30,2020-03-30,628,11,628.0,628.0,628.0,628.0,628.0,628.0
300,2020-03-30,2020-03-30,380,0,380.0,380.0,380.0,380.0,380.0,380.0
301,2020-03-30,2020-03-30,1115,7,1115.0,1115.0,1115.0,1115.0,1115.0,1115.0
303,2020-03-30,2020-03-30,390,6,390.0,390.0,390.0,390.0,390.0,390.0
304,2020-03-31,2020-03-31,191,2,191.0,191.0,191.0,191.0,191.0,191.0
305,2020-03-31,2020-03-31,171,6,171.0,171.0,171.0,171.0,171.0,171.0
306,2020-03-31,2020-03-31,306,2,306.0,306.0,306.0,306.0,306.0,306.0
307,2020-03-31,2020-03-31,1,0,1.0,1.0,1.0,1.0,1.0,1.0
308,2020-03-31,2020-03-31,784,13,784.0,784.0,784.0,784.0,784.0,784.0
309,2020-03-31,2020-03-31,61,4,61.0,61.0,61.0,61.0,61.0,61.0
310,2020-03-31,2020-03-31,354,12,354.0,354.0,354.0,354.0,354.0,354.0
311,2020-03-31,2020-03-31,69,1,69.0,69.0,69.0,69.0,69.0,69.0
312,2020-03-31,2020-03-31,1340,18,1340.0,1340.0,1340.0,1340.0,1340.0,1340.0
313,2020-03-31,2020-03-31,5,0,5.0,5.0,5.0,5.0,5.0,5.0
314,2020-03-31,2020-03-31,738,13,738.0,738.0,738.0,738.0,738.0,738.0
315,2020-03-31,2020-03-31,459,2,459.0,459.0,459.0,459.0,459.0,459.0
316,2020-03-31,2020-03-31,1373,8,1373.0,1373.0,1373.0,1373.0,1373.0,1373.0
318,2020-03-31,2020-03-31,433,8,433.0,433.0,433.0,433.0,433.0,433.0
319,2020-04-01,2020-04-01,255,3,255.0,255.0,255.0,255.0,255.0,255.0
320,2020-04-01,2020-04-01,183,6,183.0,183.0,183.0,183.0,183.0,183.0
321,2020-04-01,2020-04-01,366,3,366.0,366.0,366.0,366.0,366.0,366.0
322,2020-04-01,2020-04-01,1,0,1.0,1.0,1.0,1.0,1.0,1.0
323,2020-04-01,2020-04-01,885,18,885.0,885.0,885.0,885.0,885.0,885.0
324,2020-04-01,2020-04-01,72,7,72.0,72.0,72.0,72.0,72.0,72.0
325,2020-04-01,2020-04-01,475,17,475.0,475.0,475.0,475.0,475.0,475.0
326,2020-04-01,2020-04-01,81,1,81.0,81.0,81.0,81.0,81.0,81.0
327,2020-04-01,2020-04-01,1582,21,1582.0,1582.0,1582.0,1582.0,1582.0,1582.0
328,2020-04-01,2020-04-01,5,0,5.0,5.0,5.0,5.0,5.0,5.0
329,2020-04-01,2020-04-01,829,16,829.0,829.0,829.0,829.0,829.0,829.0
330,2020-04-01,2020-04-01,561,5,561.0,561.0,561.0,561.0,561.0,561.0
